"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","neuroblast proliferation","GO:0007405","7.860834326613815e-8","7.104531356732252","82","1691","24","21017","FZD9,KDM1A,NBN,SIX3,TGFB1,TP53,FGF2,DRD2,VEGFA,PTN,NF1,GATA2,CTNNA1,CTNNB1,NOTCH1,ID4,CX3CR1,NUMB,WNT3A,CX3CL1,SHH,HIF1A,LRRK2,PROX1"
"GO:BP","icosanoid transport","GO:0071715","8.933908335072819e-8","7.0489585078498855","65","1691","21","21017","SLC22A2,IL1B,ANXA1,EDN1,NMB,MIF,DRD2,DRD4,NTSR1,NOS2,PTGS2,DRD3,LEP,MAP2K6,CYP4F2,PLA2R1,ABCC2,P2RX7,PLA2G2F,PLA2G2D,TNFRSF11A"
"GO:BP","secretory granule organization","GO:0033363","8.933908335072819e-8","7.0489585078498855","65","1691","21","21017","AP3B1,BAIAP3,SERPINE2,SRGN,KCNE1,CREB1,F2R,PLN,RAB38,BLOC1S1,PTPRN,BLOC1S3,BLOC1S2,NECTIN2,HPS3,DTNBP1,LYST,AP1M1,VPS33B,HPS4,HPS5"
"GO:BP","forebrain cell migration","GO:0021885","8.933908335072819e-8","7.0489585078498855","65","1691","21","21017","SLIT2,SUN1,EGFR,COL3A1,SRGAP2C,DRD2,DRD1,AXL,CTNNB1,NKX2-1,CXCL12,NRG3,CDK5,TYRO3,CDK5R1,LRRK2,DAB2IP,C16ORF45,RTN4,ADGRG1,ROBO1"
"GO:BP","response to ischemia","GO:0002931","8.933908335072819e-8","7.0489585078498855","65","1691","21","21017","NOL3,ROCK2,TP53,BCL2,NQO1,EGR1,NPPC,CX3CR1,MAP2K6,CAV3,SLC26A5,CX3CL1,MEF2C,REST,SQSTM1,PTK2B,KCNJ11,NFE2L2,P2RX7,CIB1,CAMK2A"
"GO:BP","epigenetic regulation of gene expression","GO:0040029","9.289632179455433e-8","7.032001481441802","245","1691","47","21017","MEN1,SUV39H1,TRIM37,MYC,TP53,RB1,GPX1,HMGB1,TPR,TRIM27,EGR1,WT1,APOBEC3A,PHB,BCL6,ASIP,GSK3A,SMARCA4,HMGA2,HDAC4,HNRNPU,EP300,CBX3,TRIM28,HDAC1,DYRK1A,EZH2,IFI16,APOBEC3H,CTR9,METTL3,APOBEC3F,PIWIL2,HDAC2,KAT2B,USP7,SIRT1,MAEL,RBM15,TEX15,ING2,SUV39H2,APOBEC3G,APOBEC3C,RLIM,HDAC5,PADI2"
"GO:BP","regulation of glial cell differentiation","GO:0045685","1.0128857841578779e-7","6.994439524142758","77","1691","23","21017","TP73,IL33,F2,TGFB1,IL6,SERPINE2,EGR2,LIF,NR1D1,PTN,NF1,CTNNB1,DRD3,PPARG,MTOR,NOTCH1,ID4,ID2,NOG,HDAC1,HES1,SHH,HDAC2"
"GO:BP","odontogenesis","GO:0042476","1.0411990688453141e-7","6.982466228956504","135","1691","32","21017","TNFRSF11B,BCL2L11,HAND1,TGFB1,SERPINE1,EDN1,PRKCB,INHBA,FGF4,TGFB3,BMP4,SRC,PDGFRA,BMP7,MSX1,CD34,CTNNA1,CTNNB1,NF2,MSX2,BMPR1A,TGFB2,ID3,BAX,PPARA,HDAC1,SHH,OSR1,HDAC2,EDA,EDAR,AXIN2"
"GO:BP","synaptic transmission, GABAergic","GO:0051932","1.062432008601983e-7","6.9736988534977","60","1691","20","21017","SYN3,BAIAP3,NPS,DRD2,NF1,CNR1,HTR1B,ADORA2A,ADORA1,OXTR,CNR2,HAP1,STXBP1,GABRE,PRKCE,NPY5R,EZH2,NLGN1,NRXN1,PLCL2"
"GO:BP","epidermis development","GO:0008544","1.0660189512665496e-7","6.97223507452396","394","1691","65","21017","AP3B1,DLL1,CLDN4,OVOL1,EREG,ALOX15B,HDAC3,CYP27B1,KLF4,FZD6,ROCK2,SNAI1,SOD1,EGFR,TNF,ANXA1,PDGFA,KRT1,INHBA,KRT16,FGF2,BCL2,BCR,BMP4,ATP2A2,NF1,CDH3,GAL,IGFBP5,ZFP36,HOXA7,CTNNB1,MSX2,ACVR1B,WNT5A,CASP3,WAS,NOTCH1,SOX9,NAGLU,TGFB2,ATP7A,ZFP36L1,PPARA,PPP3CA,STK4,MYO7A,HDAC1,KEAP1,SCRIB,HES1,SHH,EZH2,SFRP4,LDB1,PIAS4,HDAC2,EDA,FUZ,LGR4,SAV1,SPINK5,POU2F3,EDAR,MAFB"
"GO:BP","regulation of action potential","GO:0098900","1.2139562663585575e-7","6.915796958747805","55","1691","19","21017","TNF,NPS,ATP2A2,CD36,CHRNB2,CNR1,CNR2,MTNR1B,CAV3,FGF12,SUMO1,ANK2,FMR1,DLG1,CAMK2D,KCNB1,RYR2,PKP2,GPR35"
"GO:BP","dorsal/ventral pattern formation","GO:0009953","1.2453345438719409e-7","6.904713965001557","90","1691","25","21017","BMPR1B,WNT7A,GREM1,SIX3,EDN1,BMP4,BMP1,CTNNB1,BMPR1A,ACVRL1,NBL1,NKX2-1,WNT3,WNT3A,EN1,NOG,SHH,CAPRIN2,SFRP1,MDFI,CHRD,DLL4,SUFU,AXIN2,TLL2"
"GO:BP","regulation of endopeptidase activity","GO:0052548","1.307041053889313e-7","6.883710771105319","78","1691","23","21017","AIM2,ROCK2,RECK,TIMP1,LTF,SEMG1,SERPINE1,CSN2,LYN,CR1,AKT1,STAT3,SERPINB9,SEMG2,FADD,PICALM,HDAC1,AGER,IFI16,BAD,LGMN,SPOCK3,PYCARD"
"GO:BP","response to fibroblast growth factor","GO:0071774","1.3196271224429348e-7","6.879548766932201","116","1691","29","21017","ITGB1BP1,SPRY1,CXCL13,THBS1,FGF4,FGF2,FGF6,SCGB1A1,CCL2,CCL5,NPR2,FGFR3,ZFP36,CTNNB1,WNT5A,WNT4,PTPN11,EGR3,ZFP36L1,HYAL1,HYAL2,NOG,SETX,SULF1,SFRP1,FUZ,FGF23,DLL4,NRXN1"
